#;;HD;;;Star;;V;;Sp. type;;Field 1;Field 2;Field 3;Field 4;Field 5;Field 6;Field 7;Field 8;Field 9;Field 10;;SIMBAD Type;;References
103;&;HD;52670;&;LS CMa;&;5.63;&;B2 V;&;12;;;;;;;;;;&;Eclipsing binary                  ;&;
104;&;HD;52877;&;$\sigma$ CMa;&;3.47;&;K7 Ib;&;12;41;;;;;;;;;&;Long-period variable star         ;&;Kallinger et al. 2019
105;&;HD;53138;&;$\omicron^2$ CMa;&;3.02;&;B3 Iab;&;12;41;;;;;;;;;&;Blue supergiant star              ;&;
106;&;HD;53244;&;$\gamma$ CMa;&;4.12;&;B8 II;&;12;;;;;;;;;;&;Star                              ;&;
107;&;HD;54309;&;FV CMa;&;5.71;&;B2 IVe;&;12;;;;;;;;;;&;Be Star                           ;&;
108;&;HD;54605;&;$\delta$ CMa;&;1.84;&;F8 Ia;&;12;41;;;;;;;;;&;Yellow supergiant star            ;&;
109;&;HD;55892;&;QW Pup;&;4.49;&;F0 IV;&;8;23;33;50;;;;;;;&;Variable Star of alpha2 CVn type  ;&;
110;&;HD;56014;&;27 CMa;&;4.66;&;B3 IIIe;&;12;41;;;;;;;;;&;Be Star                           ;&;
111;&;HD;56022;&;OU Pup;&;4.87;&;B9 V;&;8;23;;;;;;;;;&;Variable Star of alpha2 CVn type  ;&;
112;&;HD;56139;&;$\omega$ CMa;&;3.85;&;B2 IV-Ve;&;12;41;;;;;;;;;&;Be Star                           ;&;
113;&;HD;56455;&;PR Pup;&;5.71;&;Ap;&;8;;;;;;;;;;&;Variable Star of alpha2 CVn type  ;&;
114;&;HD;56855;&;$\pi$ Pup;&;2.70;&;K3 Ib + B5;&;8;33;41;50;;;;;;;&;Long-period variable star         ;&;
115;&;HD;57060;&;29 CMa;&;4.98;&;O7 Iafp;&;12;41;;;;;;;;;&;Eclipsing binary                  ;&;
116;&;HD;57061;&;$\tau$ CMa;&;4.40;&;O9 Ib;&;12;41;;;;;;;;;&;Eclipsing binary                  ;&;
117;&;HD;58155;&;NO CMa;&;5.43;&;B5 IIIn;&;12;;;;;;;;;;&;Be Star                           ;&;
118;&;HD;58286;&;;&;5.39;&;B3 III-IV;&;12;;;;;;;;;;&;Star                              ;&;
119;&;HD;58343;&;FW CMa;&;5.33;&;B2.5 IVe;&;12;;;;;;;;;;&;Be Star                           ;&;
